date,1. open,2. high,3. low,4. close,5. volume
2025-03-28 17:47:00,377.8,377.969,377.75,377.87,147.0
2025-03-28 17:46:00,377.93,377.99,377.55,377.95,449.0
2025-03-28 17:45:00,377.9,377.99,377.51,377.77,53.0
2025-03-28 17:44:00,377.978,377.978,377.51,377.51,71.0
2025-03-28 17:43:00,377.87,378.0,377.755,377.755,122.0
2025-03-28 17:42:00,378.0,378.0,377.51,378.0,1434.0
2025-03-28 17:41:00,377.94,378.0,377.65,378.0,141.0
2025-03-28 17:40:00,377.8,378.0,377.755,377.8,50.0
2025-03-28 17:39:00,377.8,377.95,377.51,377.8,245.0
2025-03-28 17:38:00,377.755,384.235,377.655,377.8,92.0
2025-03-28 17:37:00,377.9923,378.1,377.755,377.95,94.0
2025-03-28 17:36:00,377.94,378.1,377.805,377.94,35.0
2025-03-28 17:35:00,377.605,378.1,377.605,377.95,20.0
2025-03-28 17:34:00,378.1,378.1,377.605,377.99,168.0
2025-03-28 17:33:00,378.1,378.1,377.11,377.65,43.0
2025-03-28 17:32:00,377.64,378.1,377.28,377.7,543.0
2025-03-28 17:31:00,377.49,378.1,377.05,377.05,659.0
2025-03-28 17:30:00,377.73,378.1,377.23,377.23,280.0
2025-03-28 17:29:00,377.62,378.19,377.51,377.72,44.0
2025-03-28 17:28:00,377.62,378.19,377.0785,377.73,66.0
2025-03-28 17:27:00,377.73,378.19,377.05,377.51,245.0
2025-03-28 17:26:00,377.74,378.0,377.1,377.73,168.0
2025-03-28 17:25:00,377.6,378.2,377.06,377.635,45.0
2025-03-28 17:24:00,377.635,378.2,377.5,377.74,74.0
2025-03-28 17:23:00,377.63,378.19,377.07,377.58,65.0
2025-03-28 17:22:00,377.6,378.19,377.098,377.098,198.0
2025-03-28 17:21:00,377.73,378.19,377.5,377.845,113.0
2025-03-28 17:20:00,377.47,378.2,377.4,378.19,466.0
2025-03-28 17:19:00,377.425,377.75,377.275,377.44,100.0
2025-03-28 17:18:00,377.5,377.75,377.4,377.425,153.0
2025-03-28 17:17:00,377.4,377.5,377.05,377.4,2506.0
2025-03-28 17:16:00,377.625,377.65,377.22,377.45,470.0
2025-03-28 17:15:00,377.625,377.75,377.5,377.7,115.0
2025-03-28 17:14:00,377.58,377.77,377.5,377.75,564.0
2025-03-28 17:13:00,377.7415,377.75,377.41,377.42,28.0
2025-03-28 17:12:00,377.44,377.75,377.38,377.5,722.0
2025-03-28 17:11:00,377.58,377.75,377.38,377.44,213.0
2025-03-28 17:10:00,377.91,377.91,377.4,377.59,131.0
2025-03-28 17:09:00,377.5,377.91,377.5,377.52,96.0
2025-03-28 17:08:00,377.39,377.76,377.11,377.52,337.0
2025-03-28 17:07:00,377.75,378.2,377.05,377.385,2384.0
2025-03-28 17:06:00,377.74,377.75,377.127,377.4,491.0
2025-03-28 17:05:00,377.77,378.2,377.05,378.2,60.0
2025-03-28 17:04:00,377.44,378.2,355.2675,377.625,386.0
2025-03-28 17:03:00,377.525,379.8061,362.9725,377.63,1732.0
2025-03-28 17:02:00,377.35,389.6982,355.2675,389.6982,456.0
2025-03-28 17:01:00,377.26,401.9548,374.8513,377.595,224.0
2025-03-28 17:00:00,377.05,383.7622,355.016,383.7622,655.0
2025-03-28 16:59:00,378.2,383.7622,375.3256,377.3,2758.0
2025-03-28 16:58:00,377.01,391.8332,355.2675,377.204,2429.0
2025-03-28 16:57:00,377.21,400.9078,374.8513,377.03,3384.0
2025-03-28 16:56:00,377.5073,383.9039,371.515,377.21,547.0
2025-03-28 16:55:00,377.47,391.8332,367.6372,377.52,1173.0
2025-03-28 16:54:00,377.685,384.1194,377.1697,377.48,3657.0
2025-03-28 16:53:00,377.68,378.13,355.2675,377.78,232.0
2025-03-28 16:52:00,378.0,388.1203,372.5619,377.67,708.0
2025-03-28 16:51:00,377.7058,378.2,377.7,377.7,385.0
